#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B278C5
#Date Time: 2025-04-27 11:54:16.253
#Sample rate: 4000Hz
#Samples: 8000
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 Hz
#Period: 100 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-1.4915,3.911311300267944,4.272676024242161
-1.49125,3.870559228907017,4.231399737060295
-1.491,3.826102423786047,4.186371060134667
-1.49075,3.78535035242514,4.145094772952822
-1.4905,3.737188813544047,4.100066096027152
-1.49025,3.692732008423078,4.055037419101524
-1.49,3.648275203302088,4.010008742175875
-1.48975,3.600113664420994,3.961227675506399
-1.4895,3.551952125539943,3.912446608836968
-1.48925,3.503790586658849,3.863665542167493
-1.489,3.455629047777798,3.814884475498062
-1.48875,3.403762775136643,3.762351019084805
-1.4885,3.355601236255545,3.709817562671523
-1.48825,3.300030229854334,3.65728410625829
-1.488,3.244459223453073,3.604750649845009
-1.48775,3.192592950811916,3.55221719343175
-1.4875,3.137021944410704,3.495931347274714
-1.48725,3.081450938009441,3.435893111373825
-1.487,3.025879931608229,3.383359654960592
-1.48675,2.970308925206992,3.319569029315922
-1.4865,2.911033185045645,3.25953079341503
-1.48625,2.851757444884352,3.199492557514191
-1.486,2.792481704723004,3.139454321613299
-1.48575,2.729501230801605,3.079416085712434
-1.4855,2.673930224400393,3.019377849811595
-1.48525,2.610949750478962,2.955587224166897
-1.485,2.547969276557588,2.891796598522256
-1.48475,2.484988802636186,2.828005972877587
-1.4845,2.418303594954671,2.760462957489084
-1.48425,2.351618387273216,2.696672331844444
-1.484,2.288637913351784,2.632881706199742
-1.48375,2.221952705670299,2.561586301067466
-1.4835,2.155267497988844,2.494043285679023
-1.48325,2.088582290307327,2.426500270290517
-1.483,2.018192348865792,2.355204865158272
-1.48275,1.951507141184307,2.283909460025994
-1.4825,1.88482193350279,2.220118834381292
-1.48225,1.814431992061255,2.148823429249047
-1.482,1.744042050619657,2.073775634372935
-1.48175,1.677356842938171,2.006232618984458
-1.4815,1.606966901496636,1.93118482410841
-1.48125,1.536576960055036,1.856137029232296
-1.481,1.466187018613501,1.78484162410005
-1.48075,1.395797077171934,1.709793829223969
-1.4805,1.321702401970252,1.638498424091657
-1.48025,1.251312460528717,1.563450629215609
-1.48,1.180922519087116,1.488402834339492
-1.47975,1.106827843885468,1.409602649719608
-1.4795,1.036437902443932,1.33455485484356
-1.47925,0.9623432272422487,1.255754670223642
-1.479,0.8882485520406326,1.184459265091397
-1.47875,0.8178586105990653,1.109411470215315
-1.4785,0.7474686691574643,1.030611285595395
-1.47825,0.6733739939558482,0.9555634907193473
-1.478,0.6029840525142472,0.8767633060994257
-1.47775,0.5288893773125991,0.7979631214795416
-1.4775,0.4584994358710638,0.7229153266034938
-1.47725,0.391814228189547,0.6441151419835721
-1.477,0.3214242867480117,0.5653149573637222
-1.47675,0.2547390790665268,0.4865147727438364
-1.4765,0.1917586051450976,0.4114669778677171
-1.47625,0.1324828649838047,0.3289144035040647
-1.476,0.08061659234262959,0.2538666086279471
-1.47575,0.03615978722164814,0.1750664240080613
-1.4755,0.01022665090108251,0.09626623938821126
-1.47525,-0.0008875503791666489,0.01746605476828788
-1.475,-0.004592284139247454,-0.0650865195953645
-1.47475,-0.004592284139247454,-0.1438867042152503
-1.4745,-0.004592284139247454,-0.2189344990913679
-1.47425,-0.004592284139247454,-0.2977346837112179
-1.474,-0.004592284139247454,-0.3765348683311396
-1.47375,-0.00459228413924577,-0.4553350529510254
-1.4735,-0.0008875503791649642,-0.5341352375708754
-1.47325,-0.0008875503791649642,-0.6129354221907971
-1.473,-0.0008875503791649642,-0.6917356068106471
-1.47275,-0.0008875503791649642,-0.7667834016867288
-1.4725,-0.0008875503791649642,-0.8455835863066506
-1.47225,-0.0008875503791649642,-0.9243837709265006
-1.472,-0.0008875503791649642,-1.003183955546421
-1.47175,-0.0008875503791649642,-1.078231750422502
-1.4715,-0.0008875503791649642,-1.15327954529855
-1.47125,-0.0008875503791649642,-1.23207972991847
-1.471,-0.0008875503791649642,-1.307127524794518
-1.47075,-0.0008875503791649642,-1.382175319670599
-1.4705,-0.0008875503791649642,-1.457223114546717
-1.47025,-0.0008875503791649642,-1.536023299166567
-1.47,-0.0008875503791649642,-1.607318704298879
-1.46975,-0.0008875503791649642,-1.682366499174961
-1.4695,-0.0008875503791649642,-1.757414294051008
-1.46925,-0.0008875503791649642,-1.828709699183318
-1.469,-0.0008875503791649642,-1.900005104315563
-1.46875,-0.0008875503791649642,-1.978805288935449
-1.4685,-0.0008875503791649642,-2.046348304323955
-1.46825,-0.0008875503791649642,-2.1176437094562
-1.468,-0.0008875503791666489,-2.188939114588511
-1.46775,-0.004592284139247454,-2.260234519720788
-1.4675,-0.004592284139247454,-2.331529924853033
-1.46725,-0.004592284139247454,-2.40282532998534
-1.467,-0.004592284139247454,-2.46661595562998
-1.46675,-0.004592284139247454,-2.537911360762258
-1.4665,-0.008297017899329944,-2.601701986406958
-1.46625,-0.008297017899329944,-2.669245001795401
-1.466,-0.004592284139247454,-2.736788017183906
-1.46575,-0.004592284139247454,-2.804331032572377
-1.4655,-0.004592284139247454,-2.868121658217018
-1.46525,-0.004592284139249139,-2.931912283861716
-1.465,-0.008297017899329944,-2.995702909506357
-1.46475,-0.008297017899329944,-3.055741145407222
-1.4645,-0.008297017899329944,-3.119531771051919
-1.46425,-0.008297017899329944,-3.179570006952757
-1.464,-0.008297017899329944,-3.23960824285365
-1.46375,-0.008297017899329944,-3.299646478754515
-1.4635,-0.008297017899329944,-3.359684714655353
-1.46325,-0.004592284139249139,-3.415970560812442
-1.463,-0.008297017899329944,-3.47600879671328
-1.46275,-0.008297017899329944,-3.532294642870341
-1.4625,-0.004592284139247454,-3.584828099283623
-1.46225,-0.004592284139247454,-3.637361555696856
-1.462,-0.004592284139247454,-3.693647401853939
-1.46175,-0.004592284139247454,-3.742428468523396
-1.4615,-0.004592284139247454,-3.798714314680431
-1.46125,-0.004592284139247454,-3.851247771093711
-1.461,-0.004592284139247454,-3.900028837763142
-1.46075,-0.004592284139247454,-3.948809904432595
-1.4605,-0.004592284139247454,-3.993838581358266
-1.46025,-0.004592284139247454,-4.042619648027697
-1.46,-0.004592284139247454,-4.087648324953366
-1.45975,-0.004592284139247454,-4.132677001878995
-1.4595,-0.004592284139247454,-4.177705678804644
-1.45925,-0.0008875503791666489,-4.218981965986509
-1.459,-0.004592284139247454,-4.264010642912138
-1.45875,-0.004592284139247454,-4.305286930093983
-1.4585,-0.00459228413924577,-4.346563217275845
-1.45825,-0.0008875503791649642,-4.384087114713869
-1.458,-0.004592284139247454,-4.421611012151924
-1.45775,-0.004592284139247454,-4.455382519846147
-1.4575,-0.004592284139247454,-4.492906417284187
-1.45725,-0.004592284139247454,-4.522925535234635
-1.457,-0.004592284139247454,-4.556697042928857
-1.45675,-0.004592284139247454,-4.590468550623107
-1.4565,-0.004592284139247454,-4.620487668573539
-1.45625,-0.004592284139247454,-4.650506786523959
-1.456,-0.004592284139247454,-4.676773514730601
-1.45575,-0.004592284139247454,-4.706792632681021
-1.4555,-0.004592284139247454,-4.733059360887649
-1.45525,-0.004592284139247454,-4.759326089094288
-1.455,-0.004592284139247454,-4.781840427557102
-1.45475,-0.004592284139247454,-4.804354766019937
-1.4545,-0.004592284139247454,-4.826869104482761
-1.45425,-0.004592284139247454,-4.849383442945576
-1.454,-0.004592284139247454,-4.868145391664603
-1.45375,-0.004592284139247454,-4.883154950639812
-1.4535,-0.0008875503791649642,-4.901916899358833
-1.45325,-0.0008875503791649642,-4.916926458334056
-1.453,-0.0008875503791649642,-4.931936017309265
-1.45275,-0.0008875503791649642,-4.943193186540685
-1.4525,-0.0008875503791666489,-4.958202745515898
-1.45225,-0.004592284139247454,-4.965707525003502
-1.452,-0.0008875503791649642,-4.976964694234918
-1.45175,-0.0008875503791649642,-4.984469473722522
-1.4515,-0.0008875503791649642,-4.991974253210131
-1.45125,-0.0008875503791649642,-4.999479032697741
-1.451,-0.0008875503791649642,-5.003231422441544
-1.45075,-0.0008875503791649642,-5.006983812185349
-1.4505,-0.0008875503791649642,-5.010736201929151
-1.45025,-0.0008875503791649642,-5.010736201929151
-1.45,-0.0008875503791649642,-5.010736201929149
-1.44975,-0.0008875503791649642,-5.006983812185347
-1.4495,-0.0008875503791649642,-5.006983812185347
-1.44925,-0.0008875503791649642,-5.00323142244154
-1.449,-0.0008875503791649642,-4.995726642953935
-1.44875,-0.0008875503791649642,-4.991974253210126
-1.4485,-0.0008875503791649642,-4.980717083978715
-1.44825,-0.0008875503791649642,-4.973212304491111
-1.448,-0.0008875503791666489,-4.961955135259693
-1.44775,-0.004592284139247454,-4.950697966028286
-1.4475,-0.004592284139247454,-4.939440796796874
-1.44725,-0.004592284139247454,-4.924431237821651
-1.447,-0.004592284139247454,-4.909421678846441
-1.44675,-0.004592284139247454,-4.894412119871216
-1.4465,-0.004592284139247454,-4.875650171152195
-1.44625,-0.004592284139247454,-4.856888222433184
-1.446,-0.004592284139247454,-4.838126273714153
-1.44575,-0.004592284139247454,-4.815611935251339
-1.4455,-0.004592284139247454,-4.793097596788514
-1.44525,-0.004592284139247454,-4.770583258325679
-1.445,-0.004592284139247454,-4.748068919862865
-1.44475,-0.004592284139247454,-4.721802191656224
-1.4445,-0.004592284139247454,-4.691783073705793
-1.44425,-0.004592284139247454,-4.665516345499175
-1.444,-0.004592284139247454,-4.635497227548729
-1.44375,-0.004592284139247454,-4.60547810959831
-1.4435,-0.004592284139247454,-4.571706601904073
-1.44325,-0.004592284139247454,-4.541687483953625
-1.443,-0.004592284139247454,-4.507915976259404
-1.44275,-0.004592284139247454,-4.474144468565152
-1.4425,-0.004592284139247454,-4.440372960870913
-1.44225,-0.004592284139247454,-4.402849063432889
-1.442,-0.004592284139247454,-4.361572776251028
-1.44175,-0.004592284139247454,-4.324048878813003
-1.4415,-0.004592284139247454,-4.282772591631159
-1.44125,-0.0008875503791649642,-4.241496304449295
-1.441,-0.0008875503791649642,-4.200220017267468
-1.44075,-0.0008875503791649642,-4.155191340341799
-1.4405,-0.0008875503791649642,-4.11016266341615
-1.44025,-0.0008875503791649642,-4.065133986490522
-1.44,-0.0008875503791649642,-4.02010530956485
-1.43975,-0.0008875503791649642,-3.971324242895419
-1.4395,-0.0008875503791649642,-3.926295565969771
-1.43925,-0.0008875503791649642,-3.873762109556491
-1.439,-0.0008875503791649642,-3.82498104288706
-1.43875,-0.0008875503791649642,-3.772447586473779
-1.4385,-0.0008875503791649642,-3.719914130060522
-1.43825,-0.0008875503791649642,-3.667380673647288
-1.438,-0.0008875503791649642,-3.614847217234006
-1.43775,-0.0008875503791649642,-3.55856137107697
-1.4375,-0.0008875503791649642,-3.502275524919908
-1.43725,-0.0008875503791649642,-3.449742068506624
-1.437,-0.0008875503791649642,-3.389703832605786
-1.43675,-0.0008875503791649642,-3.329665596704895
-1.4365,-0.0008875503791666489,-3.27337975054783
-1.43625,-0.004592284139247454,-3.20958912490319
-1.436,-0.0008875503791649642,-3.149550889002297
-1.43575,-0.0008875503791649642,-3.089512653101459
-1.4355,-0.0008875503791649642,-3.025722027456789
-1.43525,-0.0008875503791649642,-2.961931401812093
-1.435,-0.0008875503791649642,-2.901893165911255
-1.43475,-0.0008875503791649642,-2.838102540266554
-1.4345,-0.0008875503791649642,-2.770559524878083
-1.43425,-0.0008875503791649642,-2.706768899233442
-1.434,-0.0008875503791649642,-2.635473494101136
-1.43375,-0.0008875503791649642,-2.571682868456495
-1.4335,-0.0008875503791649642,-2.504139853068021
-1.43325,-0.0008875503791632794,-2.436596837679515
-1.433,0.002817183380917526,-2.36530143254727
-1.43275,0.002817183380917526,-2.297758417158764
-1.4325,0.002817183380917526,-2.226463012026486
-1.43225,0.002817183380917526,-2.155167606894241
-1.432,0.002817183380917526,-2.083872201761931
-1.43175,0.002817183380917526,-2.012576796629686
-1.4315,0.002817183380917526,-1.941281391497408
-1.43125,0.002817183380917526,-1.866233596621292
-1.431,0.002817183380917526,-1.791185801745245
-1.43075,0.002817183380917526,-1.719890396612935
-1.4305,0.002817183380917526,-1.648594991480654
-1.43025,0.002817183380917526,-1.569794806860804
-1.43,0.002817183380917526,-1.49849940172849
-1.42975,0.002817183380917526,-1.41969921710864
-1.4295,0.002817183380917526,-1.344651422232558
-1.42925,0.002817183380917526,-1.269603627356442
-1.429,0.002817183380917526,-1.194555832480395
-1.42875,0.002817183380917526,-1.115755647860475
-1.4285,0.002817183380917526,-1.040707852984427
-1.42825,0.002817183380917526,-0.9656600581083454
-1.428,0.002817183380915841,-0.8868598734884238
-1.42775,-0.0008875503791649642,-0.8080596888685738
-1.4275,-0.0008875503791649642,-0.729259504248688
-1.42725,-0.0008875503791649642,-0.6542117093725704
-1.427,-0.0008875503791649642,-0.5754115247527203
-1.42675,-0.0008875503791649642,-0.496611340132797
-1.4265,-0.0008875503791649642,-0.4140587657691446
-1.42625,-0.004592284139247454,-0.3390109708930629
-1.426,-0.0008875503791649642,-0.2564583965293371
-1.42575,-0.0008875503791649642,-0.1776582119094871
-1.4255,-0.0008875503791649642,-0.1026104170333695
-1.42525,-0.0008875503791649642,-0.023810232413482
-1.425,-0.0008875503791649642,0.05874234195017038
-1.42475,0.01763611842126265,0.133790136826288
-1.4245,0.05097872226198989,0.212590321446138
-1.42425,0.09914026114306226,0.2913905060660238
-1.424,0.1547112675443283,0.3701906906859455
-1.42375,0.2176917414657019,0.4489908753057955
-1.4235,0.2880816829072979,0.5277910599257153
-1.42325,0.3510621568287036,0.6028388548018007
-1.423,0.4214520982702389,0.685391429165453
-1.42275,0.495546773471919,0.7604392240415688
-1.4225,0.5622319811533735,0.8354870189176165
-1.42225,0.6363266563550233,0.9142872035375023
-1.422,0.7104213315567051,0.9930873881574221
-1.42175,0.7808112729982404,1.06813518303347
-1.4215,0.8512012144398413,1.14693536765339
-1.42125,0.9252958896414895,1.221983162529472
-1.421,0.9956858310830248,1.297030957405519
-1.42075,1.069780506284707,1.372078752281637
-1.4205,1.140170447726242,1.450878936901487
-1.42025,1.210560389167809,1.522174342033764
-1.42,1.284655064369491,1.597222136909882
-1.41975,1.355045005811026,1.676022321529732
-1.4195,1.425434947252627,1.74356533691824
-1.41925,1.499529622454275,1.818613131794321
-1.419,1.569919563895811,1.893660926670369
-1.41875,1.636604771577328,1.964956331802679
-1.4185,1.706994713018863,2.036251736934924
-1.41825,1.77738465446043,2.111299531811006
-1.418,1.844069862141947,2.178842547199512
-1.41775,1.914459803583482,2.250137952331758
-1.4175,1.98484974502508,2.321433357464066
-1.41725,2.051534952706564,2.388976372852541
-1.417,2.118220160388019,2.460271777984786
-1.41675,2.188610101829615,2.52781479337329
-1.4165,2.251590575750989,2.595357808761733
-1.41625,2.318275783432474,2.662900824150207
-1.416,2.384960991113987,2.726691449794906
-1.41575,2.447941465035361,2.790482075439546
-1.4155,2.514626672716874,2.861777480571851
-1.41525,2.577607146638275,2.921815716472718
-1.415,2.636882886799568,2.985606342117359
-1.41475,2.699863360720997,3.049396967762055
-1.4145,2.75913910088229,3.109435203662893
-1.41425,2.825824308563775,3.173225829307563
-1.414,2.88510004872512,3.233264065208454
-1.41375,2.940671055126332,3.28954991136549
-1.4135,2.996242061527595,3.349588147266382
-1.41325,3.051813067928832,3.409626383167246
-1.413,3.107384074330044,3.465912229324282
-1.41275,3.162955080731307,3.522198075481369
-1.4125,3.218526087132519,3.578483921638404
-1.41225,3.274097093533756,3.631017378051661
-1.412,3.325963366174935,3.683550834464943
-1.41175,3.377829638816066,3.736084290878176
-1.4115,3.429695911457242,3.788617747291457
-1.41125,3.477857450338317,3.841151203704713
-1.411,3.529723722979448,3.889932270374143
-1.41075,3.577885261860541,3.938713337043619
-1.4105,3.62234206698151,3.98749440371305
-1.41025,3.670503605862582,4.0325230806387
-1.41,3.714960410983593,4.077551757564369
-1.40975,3.759417216104562,4.122580434489997
-1.4095,3.803874021225571,4.163856721671863
-1.40925,3.844626092586478,4.20888539859751
-1.409,3.885378163947367,4.250161685779337
-1.40875,3.926130235308293,4.2914379729612
-1.4085,3.966882306669182,4.332714260143026
-1.40825,4.003929644270007,4.370238157581067
-1.408,4.044681715630929,4.407762055019125
-1.40775,4.078024319471656,4.445285952457149
-1.4075,4.115071657072496,4.479057460151401
-1.40725,4.148414260913239,4.512828967845637
-1.407,4.181756864753966,4.54660047553986
-1.40675,4.215099468594722,4.58037198323411
-1.4065,4.244737338675368,4.610391101184529
-1.40625,4.274375208756028,4.640410219134962
-1.406,4.3040130788367,4.670429337085405
-1.40575,4.329946215157266,4.696696065292023
-1.4055,4.355879351477853,4.722962793498663
-1.40525,4.37810775403835,4.749229521705292
-1.405,4.404040890358916,4.775496249911908
-1.40475,4.426269292919421,4.798010588374742
-1.4045,4.448497695479905,4.816772537093754
-1.40425,4.467021364280318,4.839286875556578
-1.404,4.485545033080738,4.858048824275605
-1.40375,4.504068701881143,4.873058383250815
-1.4035,4.522592370681562,4.891820331969843
-1.40325,4.537411305721891,4.906829890945059
-1.403,4.548525507002132,4.921839449920268
-1.40275,4.563344442042468,4.93684900889549
-1.4025,4.574458643322711,4.948106178126896
-1.40225,4.585572844602957,4.959363347358309
-1.402,4.592982312123128,4.966868126845922
-1.40175,4.60409651340337,4.978125296077329
-1.4015,4.607801247163456,4.981877685821137
-1.40125,4.615210714683619,4.989382465308744
-1.401,4.6189154484437,4.993134855052546
-1.40075,4.622620182203784,4.996887244796349
-1.4005,4.626324915963865,4.996887244796349
-1.40025,4.626324915963865,5.000639634540154
-1.4,4.626324915963863,5.000639634540152
-1.39975,4.622620182203782,4.996887244796349
-1.3995,4.622620182203779,4.993134855052544
-1.39925,4.615210714683616,4.98938246530874
-1.399,4.611505980923535,4.985630075564938
-1.39875,4.604096513403366,4.981877685821128
-1.3985,4.596687045883205,4.970620516589721
-1.39825,4.58927757836304,4.963115737102113
-1.398,4.578163377082787,4.951858567870695
-1.39775,4.567049175802545,4.940601398639289
-1.3975,4.555934974522291,4.925591839664067
-1.39725,4.541116039481968,4.91433467043266
-1.397,4.526297104441638,4.899325111457443
-1.39675,4.5114781694013,4.880563162738416
-1.3965,4.496659234360978,4.865553603763207
-1.39625,4.474430831800483,4.846791655044187
-1.396,4.455907163000062,4.828029706325157
-1.39575,4.437383494199658,4.809267757606145
-1.3955,4.415155091639152,4.786753419143309
-1.39525,4.389221955318586,4.760486690936692
-1.395,4.366993552758091,4.737972352473868
-1.39475,4.341060416437502,4.707953234523424
-1.3945,4.315127280116936,4.681686506316806
-1.39425,4.285489410036263,4.651667388366362
-1.394,4.255851539955603,4.625400660159732
-1.39375,4.226213669874956,4.595381542209313
-1.3935,4.196575799794281,4.565362424258865
-1.39325,4.163233195953554,4.531590916564643
-1.393,4.129890592112812,4.497819408870406
-1.39275,4.096547988272052,4.464047901176152
-1.3925,4.059500650671244,4.426524003738129
-1.39225,4.026158046830483,4.389000106300071
-1.392,3.985405975469577,4.35147620886203
-1.39175,3.948358637868769,4.313952311424006
-1.3915,3.907606566507843,4.272676024242142
-1.39125,3.866854495146955,4.231399737060316
-1.391,3.826102423786047,4.186371060134667
-1.39075,3.781645618665038,4.141342383209
-1.3905,3.74089354730415,4.100066096027173
-1.39025,3.692732008423057,4.055037419101503
-1.39,3.648275203302066,4.010008742175852
-1.38975,3.600113664421015,3.961227675506421
-1.3895,3.551952125539921,3.912446608836946
-1.38925,3.50379058665887,3.863665542167515
-1.389,3.455629047777798,3.814884475498062
-1.38875,3.40376277513662,3.762351019084781
-1.3885,3.351896502495488,3.709817562671547
-1.38825,3.30003022985431,3.657284106258266
-1.388,3.248163957213155,3.604750649845009
-1.38775,3.196297684572024,3.552217193431776
-1.3875,3.140726678170761,3.492178957530884
-1.38725,3.085155671769549,3.435893111373849
